reservoir,date,area_m2
Pepacton,2005-03-15,21728700
Pepacton,2005-04-15,21728700
Pepacton,2005-05-15,21169800
Pepacton,2005-06-15,20052900
Pepacton,2005-07-15,15709500
Pepacton,2005-08-15,15737400
Pepacton,2005-09-15,17928000
Pepacton,2005-10-15,17417700
Pepacton,2005-11-15,21480300
Pepacton,2005-12-15,21483900
Pepacton,2006-03-15,21491100
Pepacton,2006-04-15,21457800
Pepacton,2006-05-15,21169800
Pepacton,2006-06-15,20457000
Pepacton,2006-07-15,20457000
Pepacton,2006-08-15,20644200
Pepacton,2006-09-15,20667600
Pepacton,2006-10-15,21350700
Pepacton,2006-11-15,21736800
Pepacton,2007-03-15,21749400
Pepacton,2007-04-15,21721500
Pepacton,2007-05-15,21193200
Pepacton,2007-06-15,20194200
Pepacton,2007-07-15,19992600
Pepacton,2007-08-15,19747800
Pepacton,2007-09-15,19165500
Pepacton,2007-10-15,19026900
Pepacton,2007-11-15,21703500
Pepacton,2007-12-15,21707100
Pepacton,2008-03-15,21714300
Pepacton,2008-04-15,21714300
Pepacton,2008-05-15,20428200
Pepacton,2008-06-15,20428200
Pepacton,2008-07-15,20378700
Pepacton,2008-08-15,20070000
Pepacton,2008-09-15,19624500
Pepacton,2008-10-15,19681200
Pepacton,2008-11-15,21700800
Pepacton,2008-12-15,21704400
Pepacton,2009-01-15,21708000
Pepacton,2009-02-15,21709800
Pepacton,2009-03-15,21709800
Pepacton,2009-04-15,21662100
Pepacton,2009-05-15,20940300
Pepacton,2009-06-15,20427300
Pepacton,2009-07-15,20191500
Pepacton,2009-08-15,20385000
Pepacton,2009-09-15,20506500
Pepacton,2009-10-15,20540700
Pepacton,2009-11-15,21366900
Pepacton,2009-12-15,21369600
Pepacton,2010-02-15,21372300
Pepacton,2010-03-15,21708900
Pepacton,2010-04-15,21389400
Pepacton,2010-05-15,20697300
Pepacton,2010-06-15,19995300
Pepacton,2010-07-15,20070900
Pepacton,2010-08-15,19082700
Pepacton,2010-09-15,19082700
Pepacton,2010-10-15,19551600
Pepacton,2010-11-15,21160800
Pepacton,2011-05-15,21131100
Pepacton,2011-06-15,19782000
Pepacton,2011-07-15,20349900
Pepacton,2011-08-15,20285100
Pepacton,2011-09-15,20682900
Pepacton,2011-10-15,21699000
Pepacton,2011-11-15,21696300
Pepacton,2012-01-15,21690900
Pepacton,2012-03-15,21028500
Pepacton,2012-04-15,20553300
Pepacton,2012-05-15,19290600
Pepacton,2012-06-15,19286100
Pepacton,2012-07-15,19287900
Pepacton,2012-08-15,19371600
Pepacton,2012-09-15,19396800
Pepacton,2012-10-15,21100500
Pepacton,2013-03-15,21111300
Pepacton,2013-04-15,21111300
Pepacton,2013-05-15,20960100
Pepacton,2013-06-15,20682900
Pepacton,2013-07-15,20642400
Pepacton,2013-08-15,20430900
Pepacton,2013-09-15,20016900
Pepacton,2013-10-15,19679400
Pepacton,2013-11-15,21096000
Pepacton,2014-03-15,21707100
Pepacton,2014-04-15,21728700
Pepacton,2014-05-15,21169800
Pepacton,2014-06-15,20049300
Pepacton,2014-07-15,20470500
Pepacton,2014-08-15,20440800
Pepacton,2014-09-15,19623600
Pepacton,2014-10-15,19375200
Pepacton,2014-11-15,19377900
Pepacton,2015-04-15,21093300
Pepacton,2015-05-15,20691000
Pepacton,2015-06-15,20286000
Pepacton,2015-07-15,20468700
Pepacton,2015-08-15,20642400
Pepacton,2015-09-15,19747800
Pepacton,2015-10-15,19462500
Pepacton,2015-11-15,19462500
Pepacton,2015-12-15,19462500
